cercle,menage,population,population_h,population_fem,population_g,population_fi,nb_eleves,nb_enseignants,ratio_h_fem,ratio_g_fi,eleves_par_ens,pop_par_ens,sous_effct_ens,binary_sous_effct
Abeibara,1796,10296,4808,5488,128,55,183,8,0.876093294,2.327272727,22.875,1287,-16.69878724,0
Ansongo,21966,131953,65745,66208,8944,7381,16325,483,0.993006887,1.211759924,33.79917184,273.194617,-5.774615394,0
Bafoulabe,35266,233647,119040,114607,21883,14227,36110,903,1.038680011,1.538131721,39.9889258,258.7452935,0.415138567,1
Bamako,286381,1810366,902723,907643,236435,232342,468777,13950,0.994579367,1.017616273,33.60408602,129.7753405,-5.969701215,0
Banamba,28278,191005,95901,95104,22830,13530,36360,841,1.008380299,1.687361419,43.23424495,227.1165279,3.66045771,1
Bandiagara,61159,313456,161913,151543,23321,21969,45290,994,1.068429423,1.061541263,45.56338028,315.3480885,5.989593045,1
Bankass,44498,264776,132586,132190,17078,15745,32823,664,1.002995688,1.084661797,49.43222892,398.7590361,9.858441679,1
Baraoueli,34460,202866,102752,100114,19434,14149,33583,854,1.026349961,1.373524631,39.32435597,237.5480094,-0.249431264,0
Bla,43312,283678,145478,138200,29445,22709,52154,1111,1.052662808,1.296622484,46.94329433,255.3357336,7.369507093,1
Bougouni,69750,458546,233116,225430,53024,39928,92952,2498,1.034094841,1.327990383,37.21056845,183.5652522,-2.363218782,0
Bourem,20317,116360,59757,56603,7967,6469,14436,385,1.055721428,1.23156593,37.4961039,302.2337662,-2.07768334,0
Diema,32950,211772,109282,102490,17054,9468,26522,524,1.06626988,1.80122518,50.61450382,404.1450382,11.04071658,1
Dioila,75028,488937,248626,240311,54204,39684,93888,2213,1.034600996,1.365890535,42.42566652,220.938545,2.85187928,1
Dire,19314,109661,55083,54578,7050,6629,13679,384,1.009252812,1.063508825,35.62239583,285.5755208,-3.951391403,0
Djenne,42924,208413,105673,102740,12123,11640,23763,467,1.028547791,1.041494845,50.88436831,446.2805139,11.31058107,1
Douentza,47795,246625,121931,124694,11709,11427,23136,508,0.977841757,1.024678393,45.54330709,485.4822835,5.96951985,1
Gao,38414,239535,119509,120026,29855,25787,55642,1438,0.9956926,1.157753907,38.69401947,166.5751043,-0.879767765,0
Goundam,28730,151329,76031,75298,7649,6701,14350,371,1.009734654,1.141471422,38.67924528,407.8948787,-0.894541953,0
Gourma-Rharous,19120,111033,56507,54526,6850,5273,12123,305,1.036331291,1.299070738,39.74754098,364.042623,0.173753747,1
Kadiolo,42810,243411,117965,125446,22321,18276,40597,900,0.940364778,1.221328518,45.10777778,270.4566667,5.533990541,1
Kangaba,14400,100398,50696,49702,14486,10623,25109,713,1.019999195,1.363644921,35.21598878,140.8106592,-4.357798457,0
Kati,144065,956753,479436,477317,134025,113433,247458,6440,1.004439398,1.181534474,38.42515528,148.5641304,-1.148631957,0
Kayes,80763,513172,254777,258395,58388,43512,101900,2433,0.985998181,1.341882699,41.88244965,210.9214961,2.308662414,1
Kenieba,33295,197050,98757,98293,17281,10364,27645,709,1.00472058,1.667406407,38.99153738,277.9266573,-0.58224986,0
Kidal,6103,33466,15437,18029,2817,2210,5027,169,0.856231627,1.274660633,29.74556213,198.0236686,-9.828225106,0
Kita,62129,432531,220318,212213,54012,37990,92002,2021,1.038192759,1.421742564,45.52300841,214.0183078,5.949221175,1
Kolokani,32619,232500,118844,113656,21197,16047,37244,701,1.045646512,1.320932261,53.12981455,331.6690442,13.55602731,1
Kolondieba,30079,201462,103646,97816,21145,14365,35510,927,1.059601701,1.471980508,38.30636462,217.3268608,-1.267422619,0
Koro,61209,362587,183987,178600,26520,27258,53778,1146,1.030162374,0.97292538,46.92670157,316.3935428,7.352914334,1
Koulikoro,33068,210611,105080,105531,24468,18767,43235,1219,0.995726374,1.303777908,35.46759639,172.7735849,-4.106190846,0
Koutiala,85147,580453,296185,284268,62412,46549,108961,2372,1.041921708,1.340780683,45.93634064,244.710371,6.362553404,1
Macina,40826,236077,120225,115852,17023,13746,30769,892,1.037746435,1.238396624,34.49439462,264.6603139,-5.079392618,0
Menaka,9508,54456,25674,28782,8425,5956,14381,304,0.892015843,1.41453996,47.30592105,179.1315789,7.732133816,1
Mopti,67897,368905,185879,183026,27253,26948,54201,1344,1.015587949,1.011318094,40.328125,274.4828869,0.754337764,1
Nara,37988,241904,122464,119440,16742,10231,26973,759,1.025318151,1.636399179,35.53754941,318.7140975,-4.036237829,0
Niafunke,32284,175442,87473,87969,8600,7016,15616,402,0.99436165,1.225769669,38.84577114,436.4228856,-0.728016092,0
Niono,59080,364871,183496,181375,34824,28290,63114,1425,1.011694004,1.230965005,44.29052632,256.0498246,4.716739079,1
Nioro,35424,228926,116887,112039,15111,10755,25866,595,1.043270647,1.405020921,43.47226891,384.7495798,3.898481671,1
San,55481,333613,167920,165693,38457,30831,69288,1505,1.01344052,1.247348448,46.03853821,221.6697674,6.46475097,1
Segou,113672,696115,351732,344383,71731,57151,128882,3542,1.021339613,1.255113646,36.38678713,196.5316206,-3.18700011,0
Sikasso,112798,734984,373772,361212,87837,75514,163351,4067,1.034771824,1.163188283,40.16498648,180.7189575,0.59119924,1
Tenenkou,32697,162924,82706,80218,5728,5780,11508,293,1.031015483,0.99100346,39.27645051,556.0546075,-0.297336724,0
Tessalit,3107,15955,7531,8424,1241,903,2144,119,0.893993352,1.374307863,18.01680672,134.0756303,-21.55698051,0
Tin-Essako,1637,8022,3628,4394,103,35,138,14,0.82567137,2.942857143,9.857142857,573,-29.71664438,0
Tombouctou,22214,127328,62127,65201,12805,11730,24535,609,0.952853484,1.091645354,40.28735632,209.0771757,0.713569085,1
Tominian,40857,221129,110081,111048,24948,20347,45295,984,0.991292054,1.226126702,46.03150407,224.7245935,6.457716829,1
Yanfolila,32355,212717,107446,105271,29111,20686,49797,1292,1.020660961,1.407280286,38.54256966,164.6416409,-1.031217577,0
Yelimane,25915,176517,91371,85146,20169,11658,31827,759,1.073109717,1.730056613,41.93280632,232.5652174,2.359019088,1
Yorosso,33835,211606,107146,104460,19432,14021,33453,829,1.025713192,1.385921118,40.35343788,255.2545235,0.779650641,1
Youwarou,20573,108523,54525,53998,3061,3488,6549,210,1.009759621,0.877580275,31.18571429,516.7761905,-8.388072951,0
